site,window,taxon,source_station_rows,source_grid_cells,n_predictions,n_failures,rmse,mae,bias,observed_mean,predicted_mean,r2_cv
DBO1,2008_2012,Bivalvia,72,42,42,0,5.0136483689490525,4.030115991456732,0.23453284558688914,10.625139455782314,10.859672301369201,0.5436557989864248
DBO1,2008_2012,Sipuncula,72,42,42,0,0.11237181102056583,0.06348017520321807,-0.000520691772672206,0.037706349206349216,0.037185657433677,-0.2584400519994059
DBO1,2009_2013,Polychaeta,57,33,33,0,1.5271926379840937,1.0963984827679807,-0.04165021274846352,3.627646464646465,3.5859962518980013,0.2235365158319611
DBO1,2009_2013,Bivalvia,57,33,33,0,4.924537355662212,3.8425981616125413,0.3137098683153517,11.839939393939394,12.153649262254746,0.5979892277167524
DBO1,2009_2013,Sipuncula,57,33,33,0,0.13856018971412246,0.08030519549508,0.001043550937838158,0.04531313131313131,0.04635668225096946,-0.2607073980882846
DBO1,2011_2015,Polychaeta,25,5,5,0,1.5361735419140596,1.1223133629880102,0.3319957803435365,4.644399999999999,4.976395780343537,0.4056965473595051
DBO1,2011_2015,Bivalvia,25,5,5,0,4.790157888725529,4.034443019076864,-0.3645151476754883,7.3355999999999995,6.971084852324512,0.32164351470390273
DBO1,2011_2015,Sipuncula,25,5,5,0,0.3134741361534079,0.2708128886617499,-0.009997777145562025,0.23479999999999998,0.22480222285443796,-0.7169003140257444
DBO1,2012_2016,Polychaeta,25,5,5,0,1.7504130057935294,1.206566168503087,0.36877290128600987,4.717599999999999,5.08637290128601,0.2688710004503829
DBO1,2012_2016,Bivalvia,25,5,5,0,3.98273292354477,3.7629037080052266,0.10055887567449844,6.7732,6.873758875674499,0.2869767852664672
DBO1,2012_2016,Sipuncula,25,5,5,0,0.3017907446815381,0.2525610041954177,-0.02438448273994338,0.2,0.17561551726005664,-0.3881080151348111
DBO1,2014_2018,Polychaeta,26,6,6,0,1.3986135180907324,1.3308289792332806,-0.11626798932664584,5.070555555555556,4.95428756622891,0.798428932950333
DBO1,2014_2018,Bivalvia,26,6,6,0,3.7127342417459355,3.0991150446143187,-0.118917321198125,6.32511111111111,6.206193789912986,-1.0458987030142013
DBO1,2014_2018,Sipuncula,26,6,6,0,0.17576081063625465,0.16522758170306942,0.012421973074972045,0.08888888888888886,0.10131086196386092,-1.0865430652024326
DBO1,2017_2020,Polychaeta,21,6,6,0,1.4286916044177809,1.056560466811874,-0.33430632922354686,4.544969222222222,4.210662892998675,0.6290454466608459
DBO1,2017_2020,Bivalvia,21,6,6,0,2.243813368809241,1.6633589450796278,0.0507149106693053,6.079238111111111,6.129953021780416,0.38532479864010094
DBO1,2017_2020,Sipuncula,21,6,6,0,0.1897836973237219,0.1479807371002252,0.03832926202223689,0.05779666666666666,0.09612592868890356,-1.4292313552786888
DBO4,2007_2011,Polychaeta,164,79,79,0,2.7479276169238616,1.8201670663359997,0.06671006244296293,5.109386843114691,5.176096905557655,0.3097183737521809
DBO4,2007_2011,Bivalvia,164,79,79,0,4.2729359532996725,2.8315923585839804,0.00023637176966205526,5.502019754507096,5.502256126276758,0.42224570608433054
DBO4,2007_2011,Sipuncula,164,79,79,0,2.4853354630254265,1.7153789479491532,0.012320179343895059,1.7599144610663597,1.7722346404102547,-0.0035167203107535627
DBO4,2009_2013,Polychaeta,170,82,82,0,2.6209389697564034,1.7076112677471973,0.03660728336204622,5.0278433422149345,5.064450625576981,0.3635293741522644
DBO4,2009_2013,Bivalvia,170,82,82,0,4.373058309808475,3.026212597410878,0.15984864038696361,6.651591856254697,6.811440496641661,0.5367343294074165
DBO4,2009_2013,Sipuncula,170,82,82,0,2.208625187583901,1.5822977465386912,0.009039305501969432,1.6588662635786022,1.667905569080572,0.01937070060526025
DBO4,2010_2014,Polychaeta,138,76,76,0,2.8335793968376715,1.91234853586177,0.03417694731135637,5.122458333333333,5.15663528064469,0.35645935259489847
DBO4,2010_2014,Bivalvia,138,76,76,0,4.532009295269177,3.2652176976056575,0.09045243147057655,6.795782894736843,6.8862353262074185,0.5016127577097964
DBO4,2010_2014,Sipuncula,138,76,76,0,2.446879938640772,1.8440586237161376,0.03610832118615495,1.820032894736842,1.856141215922997,-0.004411701872594209
DBO4,2012_2016,Polychaeta,73,43,43,0,3.3837033151607914,2.392317808345196,0.03232458727122744,5.031542635658916,5.063867222930143,-0.01670517011986794
DBO4,2012_2016,Bivalvia,73,43,43,0,4.9013931208194075,3.4068892305183063,0.2696340162143578,8.683786821705427,8.953420837919785,0.4644411328971163
DBO4,2012_2016,Sipuncula,73,43,43,0,2.206885227330208,1.5182101701393533,-0.03611128731710438,1.4946240310077519,1.4585127436906475,-0.04187752644226861
