site,window,surface,observed_grid_cells_n,observed_mean,predicted_mean,rmse,mae,bias,r2_cv
DBO1,2008_2012,Polychaeta,42,3.726079365079365,3.716195222224557,1.3859089452766755,1.1000189641337432,-0.0098841428548084,0.1465509057203601
DBO1,2008_2012,Bivalvia,42,10.625139455782314,10.8596723013692,5.0136483689490525,4.030115991456732,0.2345328455868891,0.5436557989864248
DBO1,2008_2012,Sipuncula,42,0.0377063492063492,0.037185657433677,0.1123718110205658,0.063480175203218,-0.0005206917726722,-0.2584400519994059
DBO1,2008_2012,Total prey (summed),42,14.38892517006803,14.613053181027434,5.025146757327131,3.8911807254969837,0.2241280109594086,0.5310091783932647
DBO1,2009_2013,Polychaeta,33,3.627646464646465,3.5859962518980013,1.5271926379840937,1.096398482767981,-0.0416502127484635,0.2235365158319611
DBO1,2009_2013,Bivalvia,33,11.839939393939394,12.153649262254746,4.924537355662212,3.8425981616125418,0.3137098683153517,0.5979892277167524
DBO1,2009_2013,Sipuncula,33,0.0453131313131313,0.0463566822509694,0.1385601897141224,0.08030519549508,0.0010435509378381,-0.2607073980882846
DBO1,2009_2013,Total prey (summed),33,15.512898989898991,15.786002196403714,4.97013545247061,3.812571599425072,0.273103206504726,0.5762405235421482
DBO1,2011_2015,Polychaeta,5,4.644399999999999,4.976395780343537,1.5361735419140596,1.1223133629880102,0.3319957803435365,0.4056965473595051
DBO1,2011_2015,Bivalvia,5,7.3356,6.971084852324512,4.790157888725529,4.034443019076864,-0.3645151476754883,0.3216435147039027
DBO1,2011_2015,Sipuncula,5,0.2347999999999999,0.2248022228544379,0.3134741361534079,0.2708128886617499,-0.009997777145562,-0.7169003140257444
DBO1,2011_2015,Total prey (summed),5,12.2148,12.172282855522486,3.7202143641678487,3.0270028914488964,-0.042517144477514,0.20999368925369877
DBO1,2012_2016,Polychaeta,5,4.717599999999999,5.08637290128601,1.7504130057935294,1.206566168503087,0.3687729012860098,0.2688710004503829
DBO1,2012_2016,Bivalvia,5,6.7732,6.873758875674499,3.98273292354477,3.7629037080052266,0.1005588756744984,0.2869767852664672
DBO1,2012_2016,Sipuncula,5,0.2,0.1756155172600566,0.3017907446815381,0.2525610041954177,-0.0243844827399433,-0.3881080151348111
DBO1,2012_2016,Total prey (summed),5,11.6908,12.135747294220566,3.121472213357452,2.647423822147465,0.4449472942205652,-0.042043950704667044
DBO1,2014_2018,Polychaeta,6,5.070555555555556,4.95428756622891,1.3986135180907324,1.3308289792332806,-0.1162679893266458,0.798428932950333
