scenario,site,window,beta,functional_ceiling_pct,threshold_count_both_feasible,mean_area_inflation_pct_points,median_area_inflation_pct_points,max_area_inflation_pct_points,A_mean_mean,A_mean_gini
distance_broad_20_60,DBO1,1993_1997,0.5,82.08889638744938,16,8.714177160225791,7.4033868866695585,21.016066000868427,0.6432445720007672,0.1426627468012156
distance_broad_20_60,DBO1,2009_2013,0.5,82.91719807259597,16,8.279960920538427,6.708640903169777,21.58054711246201,0.6581184257351559,0.1411701091273065
distance_broad_20_60,DBO1,2012_2016,0.5,78.96789685121675,15,9.848024316109424,8.901432913590968,22.579244463742942,0.5798423871650092,0.1350731042917896
distance_broad_20_60,DBO1,2017_2020,0.5,63.795455277510726,12,18.175568099580257,17.498914459400783,36.34389926183239,0.2814018094507347,0.2453770436360165
distance_broad_20_60,DBO4,2007_2011,0.5,59.99588239613545,11,19.46498477598956,17.145135566188195,44.65709728867624,0.2141817818433827,0.306584292373359
distance_broad_20_60,DBO4,2009_2013,0.5,61.771247481680945,12,19.75013290802764,16.62679425837321,48.086124401913885,0.2477683039057471,0.2684185117296052
distance_broad_20_60,DBO4,2012_2016,0.5,64.40861445503712,12,17.20494417862839,14.593301435406698,41.14832535885167,0.2839873978603529,0.2176211835379968
distance_broad_20_60,DBO4,2016_2020,0.5,58.49705052405042,11,19.75496592721473,17.22488038277512,45.69377990430622,0.1748038676747533,0.4019996938646772
sic_sit_lenient,DBO1,1993_1997,0.5,83.02580600102412,16,7.946157186278765,6.643508467216675,19.452887537993913,0.6615308613649249,0.1447013714336826
sic_sit_lenient,DBO1,2009_2013,0.5,83.79968060897032,16,7.615067303517152,6.165870603560572,19.887103777681293,0.6756473598506432,0.1442672426962972
sic_sit_lenient,DBO1,2012_2016,0.5,80.0516862497567,16,9.900130264871907,8.619192357794178,24.40295267042988,0.6011657644046693,0.1402284096210582
sic_sit_lenient,DBO1,2017_2020,0.5,64.79374806285456,12,17.401215805471125,16.739036039947898,34.73729917498915,0.3017184929767595,0.2304460193392383
sic_sit_lenient,DBO4,2007_2011,0.5,60.2544454782548,12,21.590909090909093,18.580542264752793,52.791068580542266,0.2121841023750524,0.2876880129055643
sic_sit_lenient,DBO4,2009_2013,0.5,62.085593417909635,12,19.065656565656564,15.789473684210526,47.04944178628389,0.2476974836093526,0.2492486528781303
sic_sit_lenient,DBO4,2012_2016,0.5,65.1176151252887,13,18.697092381302905,15.39074960127592,46.57097288676236,0.2933007035548108,0.1998189458338244
sic_sit_lenient,DBO4,2016_2020,0.5,58.87202753049774,11,19.00101493402929,16.666666666666668,43.939393939393945,0.1736178195550283,0.3744869499823777
sic_sit_strict,DBO1,1993_1997,0.5,66.4935917098845,13,16.159524366211294,14.372557533651758,36.90838037342596,0.3326343299712808,0.3374074910269256
sic_sit_strict,DBO1,2009_2013,0.5,66.00884655048291,13,16.78412772637697,14.329135909683027,40.85974815458098,0.3246653455765644,0.3752439596625929
sic_sit_strict,DBO1,2012_2016,0.5,65.82272763896971,13,16.406693610341026,14.763352149370384,37.82023447676943,0.315052040651982,0.3064564728140884
sic_sit_strict,DBO1,2017_2020,0.5,58.37182506273362,11,20.66474558875775,19.756838905775076,41.337386018237076,0.1704718814625845,0.3721029078885529
sic_sit_strict,DBO4,2007_2011,0.5,56.52655003635581,11,23.010004349717267,20.25518341307815,53.42902711323764,0.1444253937968955,0.4122548846836513
sic_sit_strict,DBO4,2009_2013,0.5,57.615152860241196,11,21.13237639553429,17.942583732057415,50.15948963317385,0.1651676474416981,0.3620507574065905
sic_sit_strict,DBO4,2012_2016,0.5,59.51341456631432,11,19.428737132086415,16.826156299840513,44.896331738437,0.1878183675953124,0.2937940603846012
sic_sit_strict,DBO4,2016_2020,0.5,55.8423072380998,11,22.850514716543426,19.936204146730464,54.22647527910686,0.1213169179811514,0.4775076849254276
nonlocal_multiplier_0p37,DBO1,1993_1997,0.5,77.21125044618856,15,9.940657113909394,7.815892314372558,25.66217976552323,0.5452183317385909,0.2522481375785015
nonlocal_multiplier_0p37,DBO1,2009_2013,0.5,78.11398713018035,15,9.555652048053263,7.251411202778985,25.92270950933565,0.5603842550590112,0.2482925182929867
nonlocal_multiplier_0p37,DBO1,2012_2016,0.5,74.41783721135458,14,10.70343030829353,8.98827616152844,26.052974381241857,0.489390722508192,0.2455332007760531
nonlocal_multiplier_0p37,DBO1,2017_2020,0.5,61.24047435260766,12,20.042697930235928,18.86669561441598,41.25054277029962,0.2293951585230725,0.3245765795565489
nonlocal_multiplier_0p37,DBO4,2007_2011,0.5,58.14084164376996,11,20.501667391619545,17.86283891547049,48.08612440191388,0.1611695840044265,0.3025163799303567
nonlocal_multiplier_0p37,DBO4,2009_2013,0.5,59.89927715139831,11,18.152820066695664,15.231259968102073,43.70015948963318,0.1954697059861227,0.2709008172551652
nonlocal_multiplier_0p37,DBO4,2012_2016,0.5,62.21856357104518,12,18.95933014354067,15.94896331738437,45.693779904306226,0.2330412303999153,0.2103195057310702
nonlocal_multiplier_0p37,DBO4,2016_2020,0.5,56.591023275222355,11,21.320864143830654,18.341307814992025,51.1164274322169,0.1244241491093599,0.3842287460519846
